,Apple Inc.,Redfin Corp,"Amazon.com, Inc.",Netflix Inc,,,,,,,,
,1.026826221,1.060368664,0.930073632,,,,,,,,,
,1.032941022,1.07281106,0.9393137302,,,,,,,,,
,1.028404234,1.084792627,0.9364358246,,,,,,,,,
,1.034979289,1.07281106,0.9359738197,,,,,,,,,
,1.072062595,1.094009217,1.059675634,,,,,,,,,
,1.096193044,1.055299539,1.069204485,,,,,,,,,
,1.111447169,1.038709677,1.063843303,,,,,,,,,
,1.097310803,1.057603687,1.062303287,,,,,,,,,
,1.105332369,1,1.05319794,,,,,,,,,
,1.134196857,1.069124424,1.069926368,,,,,,,,,
,1.145703202,0.964516129,1.078646711,,,,,,,,,
,1.149385232,0.9811059908,1.081062611,,,,,,,,,
,1.15878756,0.9746543779,1.090408586,,,,,,,,,
,1.15642054,1.002764977,1.086799172,,,,,,,,,
,1.148464725,0.9700460829,1.083160884,,,,,,,,,
,1.143862187,0.9732718894,1.086837673,,,,,,,,,
,1.126569794,0.9608294931,1.094220126,,,,,,,,,
,1.111710172,0.9576036866,1.084450647,,,,,,,,,
,1.124991781,0.9188940092,1.094653256,,,,,,,,,
,1.11874548,0.9253456221,1.087521055,,,,,,,,,
,1.11762772,0.9875576037,1.084084893,,,,,,,,,
,1.138404892,1.053456221,1.096770778,,,,,,,,,
,1.150371491,1.051152074,1.112815824,,,,,,,,,
,1.150437241,1.049769585,1.141537129,,,,,,,,,
,1.144651193,1.080184332,1.150998604,,,,,,,,,
,1.137944638,1.137788018,1.148852207,,,,,,,,,
,1.114340193,1.139631336,1.117734251,,,,,,,,,
,1.129923072,1.155299539,1.132633909,,,,,,,,,
,1.124663028,1.120737327,1.118773762,,,,,,,,,
,1.116444211,1.111059908,1.091438472,,,,,,,,,
,1.115392202,1.130875576,1.098772799,,,,,,,,,
,1.111249918,1.241474654,1.10914866,,,,,,,,,
,1.113288185,1.119354839,1.116309736,,,,,,,,,
,1.113616937,1.165898618,1.118436883,,,,,,,,,
